2021/10/27 08:51:47 main.go:17: This my log message
2021/10/27 08:51:57 main.go:17: This my log message
2021/10/27 08:51:58 main.go:17: This my log message
2021/10/27 08:51:58 main.go:17: This my log message
2021/10/27 08:51:59 main.go:17: This my log message
2021/10/27 08:52:00 main.go:17: This my log message
2021/10/27 08:52:01 main.go:17: This my log message
2021/10/27 08:52:03 main.go:17: This my log message
2021/10/27 08:52:30 main.go:17: This my log message
2021/10/27 08:52:31 main.go:17: This my log message
2021/10/27 08:52:32 main.go:17: This my log message
2021/10/27 08:52:33 main.go:17: This my log message
INFO: 2021/10/27 08:58:32 main.go:26: This is some info
WARNING: 2021/10/27 08:58:32 main.go:27: This is some warning
ERROR: 2021/10/27 08:58:32 main.go:28: This is some error
INFO: 2021/10/27 09:07:25 main.go:26: This is some info
WARNING: 2021/10/27 09:07:25 main.go:27: This is some warning
ERROR: 2021/10/27 09:07:25 main.go:28: This is some error
INFO: 2021/10/27 09:07:29 main.go:26: This is some info
WARNING: 2021/10/27 09:07:29 main.go:27: This is some warning
ERROR: 2021/10/27 09:07:29 main.go:28: This is some error
INFO: 2021/10/27 09:07:30 main.go:26: This is some info
WARNING: 2021/10/27 09:07:30 main.go:27: This is some warning
ERROR: 2021/10/27 09:07:30 main.go:28: This is some error
INFO: 2021/10/27 09:07:31 main.go:26: This is some info
WARNING: 2021/10/27 09:07:31 main.go:27: This is some warning
ERROR: 2021/10/27 09:07:31 main.go:28: This is some error
INFO: 2021/10/27 09:09:10 main.go:26: This is some info
WARNING: 2021/10/27 09:09:10 main.go:27: This is some warning
ERROR: 2021/10/27 09:09:10 main.go:28: This is some error
